locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCDAKLAD_00001	gene	579	lamB_1			
BCDAKLAD_00001	CDS	579	lamB_1			Maltoporin
BCDAKLAD_00002	gene	798	phnV			
BCDAKLAD_00002	CDS	798	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
BCDAKLAD_00003	gene	861	phnU			
BCDAKLAD_00003	CDS	861	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
BCDAKLAD_00004	gene	1113	phnT			
BCDAKLAD_00004	CDS	1113	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
BCDAKLAD_00005	gene	1014	phnS			
BCDAKLAD_00005	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
BCDAKLAD_00006	gene	720	phnR			
BCDAKLAD_00006	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
BCDAKLAD_00007	gene	1104	phnW			
BCDAKLAD_00007	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
BCDAKLAD_00008	gene	810	phnX			
BCDAKLAD_00008	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
BCDAKLAD_00009	gene	1194	nepI_1			
BCDAKLAD_00009	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
BCDAKLAD_00010	gene	360				
BCDAKLAD_00010	CDS	360				hypothetical protein
BCDAKLAD_00011	gene	324				
BCDAKLAD_00011	CDS	324				hypothetical protein
BCDAKLAD_00012	gene	453				
BCDAKLAD_00012	CDS	453				hypothetical protein
BCDAKLAD_00013	gene	1392	uhpT			
BCDAKLAD_00013	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
BCDAKLAD_00014	gene	1329	uhpC			
BCDAKLAD_00014	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
BCDAKLAD_00015	gene	1503	uhpB			
BCDAKLAD_00015	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
BCDAKLAD_00016	gene	594	uhpA			
BCDAKLAD_00016	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
BCDAKLAD_00017	gene	288	ilvN			
BCDAKLAD_00017	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
BCDAKLAD_00018	gene	1689	ilvB_1			
